查詢公司名稱,公司名稱,統一編號,公司狀況,資本總額(元),代表人姓名,公司所在地
臺南紡織股份有限公司,"TAINAN SPINNING CO., LTD.",68919301   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,568,158,570",臺南市東區裕農路511號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
百揚投資股份有限公司,,23418577   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,549,911,270",新北市板橋區新站路16號18樓 地址所屬公司家數: 7  電子地圖 ,經濟部商業發展署
海龍三號風電股份有限公司,"海龍三號風電股份有限公司  Google搜尋  (出進口廠商英文名稱：Hai Long 3 Offshore Wind Power Co., Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",90275401   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"22,988,125,010",Tobias Charles Edmonds,彰化縣彰化市中山路一段375號12樓 地址所屬公司家數: 2  電子地圖 
聯合再生能源股份有限公司,"聯合再生能源股份有限公司  Google搜尋  (出進口廠商英文名稱：United Renewable Energy Co., Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
107年10月18日 發文號1070029722變更名稱 （前名稱：新日光能源科技股份有限公司）",27763753   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"36,000,000,000",洪傳獻,新竹科學園區新竹市力行三路7號 地址所屬公司家數: 3  電子地圖 
富邦綜合證券股份有限公司,"Fubon Securities Co., Ltd.",22957301   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,258,551,470",臺北市大安區仁愛路四段169號3、4樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
太子建設開發股份有限公司,,72058206   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,233,261,470",臺南市東區中華東路1段398號8樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
鴻揚創業投資股份有限公司,,97164611   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,222,902,100",新北市新店區復興里北新路三段207號15樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
新光合成纖維股份有限公司,新光合成纖維股份有限公司  Google搜尋  (出進口廠商英文名稱：SHINKONG SYNTHETIC FIBERS CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,07435515   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"28,000,000,000",吳東昇,臺北市大安區仁愛路3段136號5樓 地址所屬公司家數: 23  電子地圖 
元富證券股份有限公司,MasterLink Securities Corporation,23357868   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,096,098,560",臺北市大安區復興南路一段209號1至3樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
聯發科技股份有限公司,聯發科技股份有限公司  Google搜尋  (出進口廠商英文名稱：MEDIATEK INC.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,84149961   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",蔡明介,新竹科學園區新竹市篤行一路1號 地址所屬公司家數: 1  電子地圖 
統一實業股份有限公司,統一實業股份有限公司  Google搜尋  (出進口廠商英文名稱：TON YI INDUSTRIAL CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,73252657   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"17,847,009,180",羅智先,臺南市永康區中正北路837號 地址所屬公司家數: 1  電子地圖 
彰芳風力發電股份有限公司,"Changfang Wind Power Co., Ltd.",42369695   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,309,860,700",彰化縣彰化市中華西路369號10樓之1 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
中華工程股份有限公司,,75094900   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,308,998,220",臺北市松山區新聚里東興路12號6樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
欣興電子股份有限公司,Unimicron Technology Corp.,23535435   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,296,761,970",桃園市龜山區山鶯路179號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
兆豐票券金融股份有限公司,"MEGA BILLS FINANCE CO., LTD.",14067826   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,114,410,840",臺北市中正區衡陽路91號地下1樓、2-5樓、10樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
金寶電子工業股份有限公司,"Kinpo Electronics, Inc.",04370927   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,048,392,110",臺北市松山區南京東路五段99號10樓 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
連線商業銀行股份有限公司,LINE Bank Taiwan Limited,83477590   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",臺北市內湖區瑞光路333號3樓及4樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台北金融大樓股份有限公司,,16095410   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,700,000,000",臺北市信義區市府路45號B1-5F、B1之1、4F之1及6F之1、信義路五段7號59-60樓、89樓、101樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
統一綜合證券股份有限公司,President Securities Corporation,23218183   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,558,313,430",臺北市松山區新聚里東興路8號1~7樓、11樓、12樓及地下1樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
三福氣體股份有限公司,"三福氣體股份有限公司  Google搜尋  (出進口廠商英文名稱：AIR PRODUCTS SAN FU CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",11072509   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",陸可為 Kurt Andre E. Lefevere,臺北市中山區中山北路二段21號5樓 地址所屬公司家數: 3  電子地圖 
渢妙離岸風力發電股份有限公司,"Fengmiao Wind Power Co., Ltd.",88233975   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,382,787,020",臺北市信義區忠孝東路五段68號26樓 地址所屬公司家數: 15  電子地圖 ,經濟部商業發展署
中鴻鋼鐵股份有限公司,,07838854   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,355,444,460",高雄市橋頭區芋寮里芋寮路317號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
仲昱電業股份有限公司,"Jung Yu Energy Integration Co., Ltd.",83095755   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,256,365,650",臺北市內湖區瑞光路362號8樓 地址所屬公司家數: 61  電子地圖 ,經濟部商業發展署
遠東百貨股份有限公司,,03521905   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,169,405,890",新北市板橋區新站路16號18樓 地址所屬公司家數: 7  電子地圖 ,經濟部商業發展署
鴻準精密工業股份有限公司,"FOXCONN TECHNOLOGY CO., LTD.",23707801   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"14,144,851,920",新北市土城區中山路3之2號 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
中發控股股份有限公司,中發控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,50806207   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,992,000,000",,高雄市前鎮區成功二路88號15樓 地址所屬公司家數: 1  電子地圖 
中能發電股份有限公司,China Steel Power Corporation,83529470   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,986,000,000",彰化縣彰化市中華西路369號10樓之1 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
頂基開發股份有限公司,頂基開發股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,29068963   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,448,000,000",陳宏隆,臺北市內湖區內湖路1段66號6樓 地址所屬公司家數: 11  電子地圖 
聯成化學科技股份有限公司,聯成化學科技股份有限公司  Google搜尋  (出進口廠商英文名稱：UPC TECHNOLOGY CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,04748660   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",苗豐強,臺北市南港區南港路一段209號A棟9樓 地址所屬公司家數: 2  電子地圖 
力晶創新投資控股股份有限公司,"力晶創新投資控股股份有限公司  Google搜尋  (出進口廠商英文名稱：POWERCHIP INVESTMENT HOLDING CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
111年09月26日 發文號11101184030變更名稱 （前名稱：力晶科技股份有限公司）",84149385   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"150,000,000,000",黃崇仁,臺北市中山區南京東路三段70號15樓 地址所屬公司家數: 3  電子地圖 
遠雄人壽保險事業股份有限公司,,84703052   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,553,995,330",臺北市信義區松高路1號28樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
和平電力股份有限公司,和平電力股份有限公司  Google搜尋  (出進口廠商英文名稱：HO-PING POWER COMPANY) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16096852   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",張安平,花蓮縣秀林鄉和平村和工二路7號 地址所屬公司家數: 3  電子地圖 
台泥綠能股份有限公司,,23469224   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,508,986,960",彰化縣線西鄉塭仔村彰濱東一路11號 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
中華票券金融股份有限公司,,12198359   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,429,600,000",臺北市內湖區堤頂大道二段99號4樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
臺灣證券交易所股份有限公司,,03559508   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,324,726,480",臺北市信義區西村里8鄰信義路五段7號9樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
榮成紙業股份有限公司,"Longchen Paper & Packaging Co., Ltd.",34202841   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,276,857,270",彰化縣二林鎮廣興里廣興巷1之1號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
統一國際開發股份有限公司,President International Development Corp.,16095002   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,230,000,000",臺北市信義區松高路11號10樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
凱友投資股份有限公司,"Kai Yu Investment Co., Ltd.",84442590   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,192,534,290",臺南市永康區自強路340號 地址所屬公司家數: 7  電子地圖 ,經濟部商業發展署
華泰商業銀行股份有限公司,,16831570   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,012,394,890",臺北市中山區長安東路二段246號1樓、2樓、6樓、6樓之1、6樓之2 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
哥本哈根基礎設施彰芳股份有限公司,哥本哈根基礎設施彰芳股份有限公司  Google搜尋  (出進口廠商英文名稱：CI CHANGFANG LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,52687706   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,700,000,000",William James Trenchard,臺北市信義區忠孝東路五段68號26樓 地址所屬公司家數: 15  電子地圖 
精碟科技股份有限公司,,23826861   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,763,560,780",新北市五股區興珍里五權七路13號4樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台灣國際造船股份有限公司,"台灣國際造船股份有限公司  Google搜尋  (出進口廠商英文名稱：CSBC CORPORATION, TAIWAN) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年03月02日 發文號09601043050變更名稱 （前名稱：中國造船股份有限公司）",04695235   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",黃正弘,高雄市小港區中鋼路3號 地址所屬公司家數: 3  電子地圖 
富邦金控創業投資股份有限公司,"Fubon Financial Holding Venture Capital Co., Ltd",80032258   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,622,196,110",臺北市信義區松高路77號10樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
文曄科技股份有限公司,"文曄科技股份有限公司  Google搜尋  (出進口廠商英文名稱：WT MICROELECTRONICS CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",84498860   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",鄭文宗,新北市中和區平河里中正路738號14樓 地址所屬公司家數: 1  電子地圖 
新光三越百貨股份有限公司,"新光三越百貨股份有限公司  Google搜尋  (出進口廠商英文名稱：SHINKONG MITSUKOSHI DEPARTMENT STORE CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",23525871   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",吳東昇,臺北市信義區松高路19號7、8、9樓 地址所屬公司家數: 1  電子地圖 
富崴能源股份有限公司,Foxwell Energy Corporation Ltd.,54165289   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,445,000,000",新北市土城區中央路四段49號 地址所屬公司家數: 25  電子地圖 ,經濟部商業發展署
長億實業股份有限公司,,52367648   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,410,064,920",臺中市西屯區臺灣大道二段910號5樓之7 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
復盛股份有限公司,"復盛股份有限公司  Google搜尋  (出進口廠商英文名稱：FU SHENG INDUSTRIAL CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
097年01月31日 發文號09701018620變更名稱 （前名稱：勇德國際股份有限公司）",28674272   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,408,470,250",李亮箴,臺北市中山區南京東路二段172號1、2、3樓 地址所屬公司家數: 1  電子地圖 
京元電子股份有限公司,"京元電子股份有限公司  Google搜尋  (出進口廠商英文名稱：KING YUAN ELECTRONICS CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",22507241   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",李金恭,新竹市東區埔頂里公道五路二段81號 地址所屬公司家數: 1  電子地圖 
晶元光電股份有限公司,Epistar Corporation,84149786   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,070,791,880",新竹科學園區新竹市力行路21號 地址所屬公司家數: 6  電子地圖 ,國家科學及技術委員會新竹科學園區管理局
神達控股股份有限公司,"神達控股股份有限公司  Google搜尋  (出進口廠商英文名稱：MiTAC Holdings Corporation) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
113年06月18日 發文號11330101080變更名稱 （前名稱：神達投資控股股份有限公司）",53677966   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"25,000,000,000",苗豐強,桃園市龜山區文化二路202號 地址所屬公司家數: 4  電子地圖 
新安東京海上產物保險股份有限公司,新安東京海上產物保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16834703   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",藤田 桂子,臺北市中山區南京東路三段130號8-13樓 地址所屬公司家數: 1  電子地圖 
森霸電力股份有限公司,森霸電力股份有限公司  Google搜尋  (出進口廠商英文名稱：SUN BA POWER CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70783499   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",許勝豐,臺南市山上區豐德里隙子口66號 地址所屬公司家數: 1  電子地圖 
大彰化西北離岸風力發電股份有限公司,Greater Changhua Offshore Wind Farm NW Ltd.,83304676   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,000,000,000",彰化縣彰化市華山路37號11樓之2 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
仲信資融股份有限公司,"CHAILEASE CONSUMER FINANCE CO., LTD.",70774816   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,967,575,000",臺北市內湖區內湖路一段392號6樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
華通電腦股份有限公司,"COMPEQ MANUFACTURING COMPANY LIMITED (COMPEQ MANUFACTURING CO., LTD.)",04401392   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,918,205,890",桃園市蘆竹區新莊里大新路814巷91號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台灣聚合化學品股份有限公司,台灣聚合化學品股份有限公司  Google搜尋  (出進口廠商英文名稱：USI CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11917107   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"13,426,023,650",吳亦圭,高雄市仁武區後安里鳳仁路330號 地址所屬公司家數: 1  電子地圖 
酷澎股份有限公司,"酷澎股份有限公司  Google搜尋  (出進口廠商英文名稱：Coupang Taiwan Co., Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
110年09月02日 發文號1105275330變更名稱 （前名稱：喜伴股份有限公司）",91002999   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,000,000,000",許展嘉,臺北市信義區信義路五段7號13樓、13樓之1、13樓之2 地址所屬公司家數: 1  電子地圖 
三信商業銀行股份有限公司,三信商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16832487   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,000,000,000",廖松岳,臺中市中區柳川里公園路32-1號 地址所屬公司家數: 1  電子地圖 
國產建材實業股份有限公司,,24060203   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,800,000,000",臺北市內湖區新湖一路8號7樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
長興材料工業股份有限公司,"ETERNAL MATERIALS CO., LTD.",75339004   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,782,654,830",高雄市三民區建工路578號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台灣艾司摩爾科技股份有限公司,台灣艾司摩爾科技股份有限公司  Google搜尋  (出進口廠商英文名稱：ASML TECHNOLOGY TAIWAN LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,56680824   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,665,340,000",汪佳慧,新竹市公道五路三段1號11樓之1 地址所屬公司家數: 3  電子地圖 
兆豐證券股份有限公司,,23474649   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,600,000,000",臺北市中正區忠孝東路二段95號3樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
國泰建設股份有限公司,,03374306   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,595,610,590",臺北市大安區敦化南路二段218號2樓 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
海能國際投資股份有限公司,海能國際投資股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,50780207   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,840,000,000",李鎧如,臺中市西屯區市政北二路282號13樓之5 地址所屬公司家數: 2  電子地圖 
海能風力發電股份有限公司,"FORMOSA 2 WIND POWER CO., LTD.",50898557   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,573,100,000",臺中市西屯區市政北二路282號13樓之5 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
國票綜合證券股份有限公司,"IBF Securities Co., Ltd.",23535744   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,500,000,000",臺北市大同區至聖里重慶北路三段199號地下1樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
元太科技工業股份有限公司,E INK HOLDINGS INC.,22099890   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,498,941,570",新竹科學園區新竹市力行一路3號 地址所屬公司家數: 1  電子地圖 ,國家科學及技術委員會新竹科學園區管理局
台灣福雷電子股份有限公司,,22100242   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,314,525,020",高雄市楠梓區西五街10號 地址所屬公司家數: 1  電子地圖 ,經濟部產業園區管理局
國喬石油化學股份有限公司,國喬石油化學股份有限公司  Google搜尋  (出進口廠商英文名稱：GRAND PACIFIC PETROCHEMICAL CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,04212250   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",邱德馨,高雄市大社區興工路4號 地址所屬公司家數: 1  電子地圖 
三商投資控股股份有限公司,"MERCURIES & ASSOCIATES HOLDING, LTD.",11052709   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,224,957,030",臺北市中山區建國北路二段145號地下1樓及1~18樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
台灣創新發展股份有限公司,,28185226   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,195,914,340",臺北市士林區至善路二段11號1樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
泓策創業投資股份有限公司,,50753356   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,149,665,000",臺北市信義區松高路1號4樓 地址所屬公司家數: 25  電子地圖 ,經濟部商業發展署
京城商業銀行股份有限公司,,68921101   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,112,342,650",臺南市中西區西門路1段506號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
正隆股份有限公司,Cheng Loong Corporation,33085508   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,082,745,220",新北市板橋區民生路一段1號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
潤泰全球股份有限公司,,14053007   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,043,187,720",臺北市中山區八德路二段308號13樓之1 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
台新人壽保險股份有限公司,"Taishin Life Insurance Co., Ltd.",70789634   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,039,559,990",臺北市松山區南京東路五段161號10樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
中華紙漿股份有限公司,Chung Hwa Pulp Corporation,94025264   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,028,353,160",花蓮縣吉安鄉光華村光華街100號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
中央投資股份有限公司,,03064421   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,000,000,000",臺北市中山區八德路2段232號6樓 地址所屬公司家數: 9  電子地圖 ,經濟部商業發展署
開發國際投資股份有限公司,CDIB & PARTNERS INVESTMENT HOLDING CORPORATION,16744338   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,908,000,000",臺北市松山區敦化北路135號8樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
中環股份有限公司,CMC MAGNETICS CORPORATION,12205020   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,893,483,280",臺北市中山區民權西路53號15樓 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
泓勝投資股份有限公司,,50757389   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,885,620,900",臺北市信義區松高路1號4樓 地址所屬公司家數: 25  電子地圖 ,經濟部商業發展署
鄉林建設事業股份有限公司,,23641822   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,775,892,450",臺中市西區忠明里臺灣大道2段408號1樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
泓順投資股份有限公司,,50759485   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,750,663,600",臺北市信義區松高路1號4樓 地址所屬公司家數: 25  電子地圖 ,經濟部商業發展署
茂德國際投資股份有限公司,,66807809   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,734,880,130",新北市新店區安興路115號14樓之6 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
保誠人壽保險股份有限公司,保誠人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03358805   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"17,927,000,000",劉添 Lau Tim,臺北市信義區松智路1號8樓 地址所屬公司家數: 1  電子地圖 
遠東資源開發股份有限公司,"FAR EASTERN RESOURCE DEVELOPMENT CO., LTD.",80031413   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,730,605,100",臺北市大安區敦化南路二段207號34樓 地址所屬公司家數: 14  電子地圖 ,經濟部商業發展署
裕隆汽車製造股份有限公司,,03489200   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,700,012,510",苗栗縣三義鄉西湖村伯公坑39號之1 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
長榮國際儲運股份有限公司,EVERGREEN INTERNATIONAL STORAGE & TRANSPORT CORPORATION,04406559   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,671,410,940",桃園市桃園區經國路899號 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
台灣金聯資產管理股份有限公司,,70808864   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,572,000,000",臺北市中山區中吉里南京東路二段85、87號11、12樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
中租汽車租賃股份有限公司,,27998148   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,524,253,000",臺北市內湖區瑞光路362號5樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
統一超商股份有限公司,,22555003   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,396,222,550",臺北市松山區東興路8號8樓 地址所屬公司家數: 12  電子地圖 ,經濟部商業發展署
日勝生活科技股份有限公司,,12373243   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,350,946,490",臺北市大同區市民大道一段209號14樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
德州儀器工業股份有限公司,德州儀器工業股份有限公司  Google搜尋  (出進口廠商英文名稱：TEXAS INSTRUMENTS TAIWAN LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,33405832   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"21,085,375,200",李原榮,新北市中和區興南路一段142號 地址所屬公司家數: 1  電子地圖 
