查詢公司名稱,公司名稱,統一編號,公司狀況,資本總額(元),代表人姓名,公司所在地
麥寮汽電股份有限公司,MAI-LIAO POWER CORPORATION,96975970   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,639,004,000",雲林縣麥寮鄉中興村台塑工業園區1號之1 地址所屬公司家數: 7  電子地圖 ,經濟部商業發展署
王道商業銀行股份有限公司,"O-Bank Co., Ltd.",70745361   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,553,578,780",臺北市內湖區堤頂大道二段99號 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
宏碁股份有限公司,Acer Incorporated,20828393   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,478,538,280",臺北市松山區民福里復興北路369號7樓之5 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
大彰化東南離岸風力發電股份有限公司,Greater Changhua Offshore Wind Farm SE Ltd.,85122383   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,435,000,000",彰化縣彰化市華山路37號11樓之2 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
合迪股份有限公司,"FINA FINANCE & TRADING CO., LTD.",22424994   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,309,635,000",臺北市內湖區瑞光路362號3樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
迅捷投資股份有限公司,,70761592   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,115,768,730",臺北市內湖區西康里內湖路一段66號8樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
綠點高新科技股份有限公司,"綠點高新科技股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN GREEN POINT ENTERPRISES CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",12800766   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,101,165,000",施瑞恩(Ryan Matthew Schwartz),臺中市大雅區員林里神林路一段256號 地址所屬公司家數: 1  電子地圖 
星宇航空股份有限公司,"STARLUX AIRLINES CO., LTD.",51712072   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,087,350,000",臺北市信義區忠孝東路四段525號11樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
寶成工業股份有限公司,寶成工業股份有限公司  Google搜尋  (出進口廠商英文名稱：POU CHEN CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,58711014   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"45,000,000,000",吳邦治,彰化縣福興鄉福工路2號 地址所屬公司家數: 8  電子地圖 
瀚宇彩晶股份有限公司,瀚宇彩晶股份有限公司  Google搜尋  (出進口廠商英文名稱：HANNSTAR DISPLAY CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16450500   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"90,000,000,000",焦佑麒,臺北市內湖區行善路168巷15號4樓 地址所屬公司家數: 2  電子地圖 
特許投資顧問股份有限公司,特許投資顧問股份有限公司  Google搜尋  (出進口廠商英文名稱：CHARTER INVESTMENTS LIMITED) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53104757   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"29,319,778,170",Svilen Ivanov Karaivanov,彰化縣線西鄉彰濱西二路85號 地址所屬公司家數: 1  電子地圖 
渣打國際商業銀行股份有限公司,"渣打國際商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年07月02日 發文號09601142060變更名稱 （前名稱：新竹國際商業銀行股份有限公司）",46479103   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,000,000,000",John Ming Kiu Tan 陳銘僑,臺北市中山區遼寧街177號1樓及179號3樓至6樓、17樓至19樓 地址所屬公司家數: 1  電子地圖 
台灣玻璃工業股份有限公司,台灣玻璃工業股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN GLASS INDUSTRY CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11914002   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,000,000,000",林伯豐,臺北市松山區南京東路三段261號11樓 地址所屬公司家數: 9  電子地圖 
台泥循環能源科技股份有限公司,TCC RECYCLE ENERGY TECHNOLOGY COMPANY,82908184   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"28,450,979,180",臺北市中山區中山北路二段113號11樓 地址所屬公司家數: 8  電子地圖 ,經濟部商業發展署
潤泰創新國際股份有限公司,,12139612   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"28,442,250,860",臺北市中山區八德路二段308號11樓之1 地址所屬公司家數: 16  電子地圖 ,經濟部商業發展署
萬海航運股份有限公司,萬海航運股份有限公司  Google搜尋  (出進口廠商英文名稱：WAN HAI LINES LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11395000   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"36,000,000,000",久福花園股份有限公司,臺北市中山區松江路136號10樓 地址所屬公司家數: 3  電子地圖 
能元科技股份有限公司,E-One Moli Energy Corp.,16441469   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"27,663,107,030",南部科學園區臺南市善化區大利二路10號 地址所屬公司家數: 1  電子地圖 ,國家科學及技術委員會南部科學園區管理局
亞東石化股份有限公司,"Oriental Petrochemical (Taiwan) Co., Ltd.",22318678   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"27,660,929,670",桃園市觀音區觀音工業區經建四路47號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
元大人壽保險股份有限公司,,80329815   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"27,201,071,830",臺北市松山區民生東路三段156號17樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
全國農業金庫股份有限公司,,27253935   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"26,965,034,940",臺北市中正區館前路77號6至11樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
和碩聯合科技股份有限公司,PEGATRON CORPORATION,28689155   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"26,631,576,030",臺北市北投區立功街76號5樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
燁聯鋼鐵股份有限公司,,23218395   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"26,204,136,000",高雄市岡山區興隆街600號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台達電子工業股份有限公司,"台達電子工業股份有限公司  Google搜尋  (出進口廠商英文名稱：DELTA ELECTRONICS, INC.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",34051920   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"40,000,000,000",鄭　平,桃園市龜山區山頂里興邦路31之1號 地址所屬公司家數: 1  電子地圖 
大成不銹鋼工業股份有限公司,"Ta Chen Stainless Pipe Co., Ltd.",22318348   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"24,342,606,150",臺南市仁德區新田二街125號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
乾坤科技股份有限公司,"CYNTEC CO.,LTD.",22099836   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"23,412,043,330",新竹科學園區新竹縣寶山鄉研發二路2號 地址所屬公司家數: 1  電子地圖 ,國家科學及技術委員會新竹科學園區管理局
光寶科技股份有限公司,LITE-ON TECHNOLOGY CORPORATION,23357403   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"23,411,787,630",臺北市內湖區瑞光路392號22樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
明東實業股份有限公司,,11326855   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"22,325,870,860",臺北市中正區銅山街13號2樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
大同股份有限公司,大同股份有限公司  Google搜尋  (出進口廠商英文名稱：Tatung Company) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11026506   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"100,000,000,000",王光祥,臺北市中山區集英里21鄰中山北路三段22號 地址所屬公司家數: 1  電子地圖 
台灣三元能源科技股份有限公司,Molie Quantum Energy Corporation,90838471   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"22,001,000,000",臺北市中山區中山北路二段113號11樓 地址所屬公司家數: 8  電子地圖 ,經濟部商業發展署
群益金鼎證券股份有限公司,,22956035   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"21,709,080,970",臺北市松山區民生東路三段156號7樓之5、11樓之1~之3、11樓之6、12樓、12樓之1~之3、12樓之5~之6、13樓、13樓之1~之3、13樓之5~之6、14樓之1~之3、14樓之5~之6、15樓之5、16樓之3 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
長榮海運股份有限公司,長榮海運股份有限公司  Google搜尋  (出進口廠商英文名稱：EVERGREEN MARINE CORPORATION (TAIWAN) LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11337775   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"70,000,000,000",張衍義,臺北市中山區民生東路二段166號1至4樓 地址所屬公司家數: 1  電子地圖 
東元電機股份有限公司,"東元電機股份有限公司  Google搜尋  (出進口廠商英文名稱：TECO ELECTRIC & MACHINERY CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",11332202   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,305,500,000",利明献,臺北市南港區三重路19-9號5樓 地址所屬公司家數: 1  電子地圖 
台灣固網股份有限公司,,28468548   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"21,000,000,000",臺北市大安區基隆路二段172-1號15樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
新世紀資通股份有限公司,,70774626   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"21,000,000,000",臺北市內湖區港墘路220號10樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
道盈實業股份有限公司,"Dao Ying CO., Ltd.",05067562   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,923,146,600",臺北市中正區銅山街13號2樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
華創車電技術中心股份有限公司,,27932239   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,736,001,200",新北市新店區中興路三段3號2樓 地址所屬公司家數: 15  電子地圖 ,經濟部商業發展署
興富發建設股份有限公司,Highwealth Construction corp.,12305479   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,705,557,510",臺北市中山區樂群二路267號10樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
中華開發資本股份有限公司,CDIB Capital Group,11147207   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,411,159,130",臺北市松山區敦化北路135號12及18樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
諧永投資股份有限公司,,27989078   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,260,495,470",臺北市內湖區西康里內湖路一段66號8樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
台朔重工股份有限公司,,23986634   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,094,771,740",高雄市仁武區竹後里水管路100號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
寶佳資產管理股份有限公司,,42856999   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,030,090,650",臺北市內湖區行善路469號10樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
合陽管理顧問股份有限公司,,27463361   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",新北市五股區成泰路1段2號9樓 地址所屬公司家數: 13  電子地圖 ,經濟部商業發展署
凱擘股份有限公司,,80173221   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,937,687,700",臺北市中山區八德路2段260號9樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
遠東建設事業股份有限公司,,05151717   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"30,000,000,000",趙文嘉,臺北市信義區基隆路一段200號24樓 地址所屬公司家數: 1  電子地圖 
安泰商業銀行股份有限公司,安泰商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,86928561   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"47,600,000,000",俞宇琦,臺北市信義區西村里信義路五段7號16樓、40樓、41樓 地址所屬公司家數: 1  電子地圖 
燁輝企業股份有限公司,"Yieh Phui Enterprise Co., Ltd.",75947936   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,519,972,140",高雄市橋頭區芋寮路369號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
寶鑫國際投資股份有限公司,,16636534   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,278,017,700",新北市新店區復興里北新路三段207-1號15樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
