查詢公司名稱,公司名稱,統一編號,公司狀況,資本總額(元),代表人姓名,公司所在地
台灣電力股份有限公司,,03795904   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"580,000,000,000",臺北市中正區羅斯福路三段242號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
潤成投資控股股份有限公司,,53111933   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"329,765,000,000",臺北市中山區八德路二段308號13樓之1 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
台灣積體電路製造股份有限公司,台灣積體電路製造股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,22099131   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"280,500,000,000",魏哲家,新竹科學園區新竹市力行六路8號 地址所屬公司家數: 1  電子地圖 
中國信託金融控股股份有限公司,中國信託金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,80333992   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"320,000,000,000",顏文隆,臺北市南港區經貿二路168號27樓、29樓 地址所屬公司家數: 1  電子地圖 
凱基金融控股股份有限公司,"KGI Financial Holding Co., Ltd.",70827383   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"183,900,740,770",臺北市松山區敦化北路135號8、12、13及18樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
新光金融控股股份有限公司,"Shin Kong Financial Holding Co., Ltd.",80328219   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,094,789,520",臺北市中正區忠孝西路一段66號38樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
國泰金融控股股份有限公司,國泰金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70827406   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",蔡宏圖,臺北市大安區仁愛路四段296號 地址所屬公司家數: 16  電子地圖 
玉山金融控股股份有限公司,"E. SUN FINANCIAL HOLDING COMPANY, LTD.",70796305   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"159,958,000,000",臺北市松山區民生東路3段117號14樓及115號1樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
中國信託商業銀行股份有限公司,"CTBC Bank Co., Ltd.",03077208   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"158,016,512,400",臺北市南港區經貿二路166、168、170、186、188號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
中國鋼鐵股份有限公司,,30414175   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"157,731,289,960",高雄市小港區中鋼路1號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台北富邦商業銀行股份有限公司,"Taipei Fubon Commercial Bank Co., Ltd. (Taipei Fubon Bank)",03750168   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"157,598,061,300",臺北市中山區中山北路二段50號1、2、3、5、8、12樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台灣自來水股份有限公司,,52242444   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"157,500,000,000",臺中市北區樂英里14鄰雙十路二段2之1號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
富邦金融控股股份有限公司,"Fubon Financial Holding Co., Ltd.",03374805   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"152,657,119,050",臺北市中山區遼寧街179號15樓、16樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
合作金庫金融控股股份有限公司,,53021433   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"152,242,105,960",臺北市松山區長安東路二段225號17、19樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
兆豐金融控股股份有限公司,MEGA FINANCIAL HOLDING COMPANY LIMITED,70796754   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"148,333,782,820",臺北市中正區忠孝東路二段123號14至17樓、20樓至21樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
南山人壽保險股份有限公司,,11456006   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"146,992,460,000",臺北市信義區莊敬路168號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
玉山商業銀行股份有限公司,"E.SUN COMMERCIAL BANK, LTD.",86517510   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"146,320,000,000",臺北市松山區民生東路三段115號及117號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台新金融控股股份有限公司,查無資料,查無資料,查無資料,查無資料,查無資料,查無資料
